qbname;cpera;yard;int;long;sack;loss;home;points
Scott TolzienS. Tolzien;0,6171875;156,1666667;1,166666667;52;1,166666667;9,166666667;0,5;18
Sean SalisburyS. Salisbury;0,50931677;109,3333333;0,888888889;56;1,444444444;12,11111111;0,444444444;16,22222222
Seneca WallaceS. Wallace;0,593908629;112,4318182;0,431818182;63;1,340909091;7,704545455;0,477272727;17,93181818
Shane MatthewsS. Matthews;0,586412396;176,1481481;0,888888889;56;1,259259259;7,703703704;0,481481481;17,74074074
Shaun HillS. Hill;0,617959184;184,3333333;0,666666667;61;1,866666667;11,84444444;0,533333333;22,88888889
Shaun KingS. King;0,562330623;142,6875;0,75;75;1,90625;13,09375;0,46875;20
Stan HumphriesS. Humphries;0,550702028;198;0,904761905;59;1,80952381;15,76190476;0,523809524;19,95238095
Stephen McGeeS. McGee;0,56097561;140;0;33;2;16,66666667;0,333333333;15,66666667
Steve BeuerleinS. Beuerlein;0,600214362;211,7076923;0,907692308;63;3,230769231;18,87692308;0,461538462;22
Steve BonoS. Bono;0,528205128;154,9090909;0,772727273;69;1,318181818;10,59090909;0,636363636;20,45454545
Steve McNairS. McNair;0,603046595;195,7643312;0,751592357;73;1,579617834;9,579617834;0,496815287;21,62420382
Steve StenstromS. Stenstrom;0,563694268;111,4705882;0,705882353;48;1,882352941;13,35294118;0,588235294;12,94117647
Steve YoungS. Young;0,645718775;223,4444444;0,622222222;82;2,777777778;15,04444444;0,488888889;25,37777778
Stoney CaseS. Case;0,512658228;120,4666667;0,933333333;45;2,6;18,66666667;0,533333333;15,2
Tarvaris JacksonT. Jackson;0,596458527;134,5;0,648148148;71;1,666666667;10,11111111;0,481481481;25,09259259
Teddy BridgewaterT. Bridgewater;0,648998822;212,0689655;0,724137931;52;2,862068966;19,17241379;0,517241379;22,03448276
Terrelle PryorT. Pryor;0,562700965;117,2941176;0,705882353;66;1,882352941;12;0,470588235;19,35294118
Thaddeus LewisT. Lewis;0,608465608;216;0,666666667;57;3,5;19;0,333333333;18,83333333
Tim CouchT. Couch;0,598016336;179,5322581;1,080645161;79;2,677419355;18,0483871;0,467741935;16,22580645
Tim HasselbeckT. Hasselbeck;0,536723164;144,5714286;1;40;1,285714286;6,285714286;0,428571429;15,42857143
Tim RattayT. Rattay;0,605042017;138,6571429;0,657142857;65;1,8;10,62857143;0,542857143;21,08571429
Tim TebowT. Tebow;0,479224377;105,3043478;0,391304348;50;1,782608696;11,2173913;0,52173913;20,47826087
Todd BoumanT. Bouman;0,556818182;136,0714286;0,928571429;48;1,214285714;8,714285714;0,5;20,57142857
Todd CollinsT. Collins;0,561011905;116,7105263;0,605263158;69;1,605263158;10,63157895;0,605263158;23,86842105
Tom BradyT. Brady;0,637645914;259,8396624;0,641350211;73;1,759493671;10,9535865;0,497890295;28,06329114
Tom SavageT. Savage;0,608695652;147;0,25;35;1,5;10,25;0,5;15
Tommy MaddoxT. Maddox;0,582046332;192,9459459;1,081081081;57;2,216216216;12,81081081;0,540540541;22,08108108
Tony BanksT. Banks;0,542444822;172,0786517;0,820224719;76;2,550561798;16,08988764;0,528089888;18,91011236
Tony RomoT. Romo;0,654335533;265,3149606;0,88976378;77;1,937007874;13,05511811;0,503937008;25,33070866
Trent DilferT. Dilfer;0,559626168;163,3113208;0,990566038;83;1,962264151;12,80188679;0,528301887;18,86792453
Trent EdwardsT. Edwards;0,606027987;163,0540541;0,810810811;65;1,864864865;13,02702703;0,486486486;17,16216216
Trent GreenT. Green;0,605882353;237,2916667;0,95;67;2,158333333;13,50833333;0,516666667;25,21666667
Trevor SiemianT. Siemian;0,589130435;247,9230769;0,615384615;44;2,230769231;12,92307692;0,461538462;21,23076923
Troy AikmanT. Aikman;0,596403596;199,0298507;0,835820896;61;1,373134328;9,970149254;0,537313433;20,50746269
Troy SmithT. Smith;0,517094017;108,375;0,3125;65;1,4375;8,875;0,625;24,125
Ty DetmerT. Detmer;0,581369248;183,6969697;0,939393939;57;2;11,57575758;0,545454545;19,78787879
Tyler PalkoT. Palko;0,6;103,875;0,875;28;1,625;11,625;0,375;6,875
Tyler ThigpenT. Thigpen;0,540275049;140,0869565;0,782608696;75;1,52173913;9,608695652;0,565217391;15,95652174
Tyrod TaylorT. Taylor;0,62279671;178,7714286;0,4;63;2,371428571;12,48571429;0,542857143;24,91428571
Vince YoungV. Young;0,57898773;151,9322034;0,86440678;73;1,406779661;7,610169492;0,508474576;21,28813559
Vinny TestaverdeV. Testaverde;0,587666951;207,3534483;1,017241379;63;1,49137931;10,06896552;0,49137931;20,5
Warren MoonW. Moon;0,568224299;198,5555556;0,944444444;45;2,111111111;13,88888889;0,5;21,61111111
Zach MettenbergerZ. Mettenberger;0,602898551;180,5384615;1,076923077;68;2,384615385;18,15384615;0,461538462;14,23076923
